id,title,category,startDate,endDate,venue,address,eventUrl,ticketUrl,source
exa_https://www.theticketmachine.com/Event/Kims-Convenience-Toni-Rembe-Theater-2025-09-18-19-30-00-2746829-Tickets,Kim's Convenience Live at Toni Rembe Theater,theatre,2025-09-18T07:00:00.000Z,2025-09-18T07:00:00.000Z,Toni Rembe Theater,,https://www.theticketmachine.com/Event/Kims-Convenience-Toni-Rembe-Theater-2025-09-18-19-30-00-2746829-Tickets,https://www.theticketmachine.com/Event/Kims-Conven](https://www.theticketmachine.com/Event/Kims-Conven,exa_fast
exa_https://eventguide.com/sanfrancisco/d/516968.htm,Kim's Convenience | EventGuide San Francisco,theatre,2025-09-18T07:00:00.000Z,2025-09-18T07:00:00.000Z,** Toni Rembe Theater,,https://eventguide.com/sanfrancisco/d/516968.htm,https://eventguide.com/sanfrancisco/d/516968.htm,exa_fast
exa_https://www.san-francisco-theater.com/shows/toni-rembe-theatre/kims-convenience/tickets/calendar,Kims Convenience Tickets Calendar - Sep 18 - Oct 19,theatre,2025-09-18T00:00:00.000Z,2025-09-18T00:00:00.000Z,** Toni Rembe Theatre,,https://www.san-francisco-theater.com/shows/toni-rembe-theatre/kims-convenience/tickets/calendar,https://www.san-francisco-theater.com/shows/toni-rembe-theatre/kims-convenience/tickets/seating?performance_id=5200142&performance_time=2025-09-18T19:30:00+00:00,exa_fast
exa_https://www.eventticketscenter.com/kims-convenience-san-francisco-09-30-2025/6683689/t,Kim's Convenience in San Francisco Tickets - 09/30/2025 6:30 PM,theatre,2025-09-30T07:00:00.000Z,2025-09-30T07:00:00.000Z,** Toni Rembe Theater,,https://www.eventticketscenter.com/kims-convenience-san-francisco-09-30-2025/6683689/t,https://www.eventticketscenter.com/kims-convenienc,exa_fast
exa_https://www.bigstub.com/Shucked-Tickets/San-Francisco-CA/event-7023104-September-17th-2025-1pm-Curran-Theatre,Shucked Tickets - San Francisco - September 17th 1pm,theatre,2025-09-17T07:00:00.000Z,2025-09-17T07:00:00.000Z,Curran Theatre,,https://www.bigstub.com/Shucked-Tickets/San-Francisco-CA/event-7023104-September-17th-2025-1pm-Curran-Theatre,https://www.bigstub.com/Shucked-Tickets/San-Franci](https://www.bigstub.com/Shucked-Tickets/San-Franci,exa_fast
exa_https://allevents.in/san-francisco/shucked-at-curran-theatre/2400027963510839,Shucked at Curran Theatre,theatre,2025-09-09T07:00:00.000Z,2025-09-09T07:00:00.000Z,Curran Theatre,,https://allevents.in/san-francisco/shucked-at-curran-theatre/2400027963510839,https://allevents.in/san-francisco/shucked-at-curran-theatre/2400027963510839,exa_fast
exa_https://allevents.in/san-francisco/between-friends-at-the-regency-ballroom/2400028538308330,Between Friends at The Regency Ballroom,theatre,2025-09-26T07:00:00.000Z,2025-09-26T07:00:00.000Z,The Regency Ballroom,,https://allevents.in/san-francisco/between-friends-at-the-regency-ballroom/2400028538308330,https://allevents.in/san-francisco/between-friends-at-the-regency-ballroom/2400028538308330,exa_fast
exa_https://allevents.in/san-francisco/between-friends/2300028358776423,Between Friends,theatre,2025-09-25T07:00:00.000Z,2025-09-25T07:00:00.000Z,The Regency Ballroom,,https://allevents.in/san-francisco/between-friends/2300028358776423,https://allevents.in/san-francisco/between-friends/2300028358776423,exa_fast
exa_https://www.eventsfy.com/event/nobody-loves-you-d294/san-francisco/the-toni-rembe-theater-at-the-american-conservatory-theater-act/2025-03-05,"Nobody Loves You at The Toni Rembe Theater at The American Conservatory Theater (ACT) on Mar 05, 2025 -  tickets | Eventsfy",theatre,2025-03-05T08:00:00.000Z,2025-03-05T08:00:00.000Z,The Toni Rembe Theater at The American Conservatory Theater (ACT),,https://www.eventsfy.com/event/nobody-loves-you-d294/san-francisco/the-toni-rembe-theater-at-the-american-conservatory-theater-act/2025-03-05,https://www.eventsfy.com/event/nobody-loves-you-d294/san-francisco/the-toni-rembe-theater-at-the-american-conservatory-theater-act/2025-03-05,exa_fast
exa_https://www.eventsfy.com/event/exotic-deadly-or-the-msg-play-036c/san-francisco/san-francisco-playhouse/2025-03-08,"Exotic Deadly, or the MSG Play at San Francisco Playhouse on Mar 08, 2025 -  tickets | Eventsfy",theatre,2025-03-08T08:00:00.000Z,2025-03-08T08:00:00.000Z,** San Francisco Playhouse,,https://www.eventsfy.com/event/exotic-deadly-or-the-msg-play-036c/san-francisco/san-francisco-playhouse/2025-03-08,https://www.eventsfy.com/event/exotic-deadly-or-the-msg-play-036c/san-francisco/san-francisco-playhouse/2025-03-08,exa_fast
exa_https://www.eventsfy.com/event/exotic-deadly-or-the-msg-play-9a9a/san-francisco/san-francisco-playhouse/2025-02-20,"Exotic Deadly, or the MSG Play at San Francisco Playhouse on Feb 20, 2025 -  tickets | Eventsfy",theatre,2025-02-20T08:00:00.000Z,2025-02-20T08:00:00.000Z,San Francisco Playhouse,,https://www.eventsfy.com/event/exotic-deadly-or-the-msg-play-9a9a/san-francisco/san-francisco-playhouse/2025-02-20,https://www.eventsfy.com/event/exotic-deadly-or-the-msg-play-9a9a/san-francisco/san-francisco-playhouse/2025-02-20,exa_fast
exa_https://san-francisco.events/tickets/exotic-deadly-or-the-msg-play/,Exotic Deadly: Or The MSG Play Tickets | SF Events 2025/2026,theatre,2025-09-07T08:33:26.397Z,2025-09-07T08:33:26.397Z,for this event is not listed,,https://san-francisco.events/tickets/exotic-deadly-or-the-msg-play/,https://san-francisco.events/tickets/exotic-deadly,exa_fast
exa_https://san-francisco.events/tickets/mean-girls/,Mean Girls Tickets | SF Events 2025/2026,theatre,2025-09-07T08:33:26.397Z,2025-09-07T08:33:26.397Z,** Not currently scheduled; no upcoming dates listed,,https://san-francisco.events/tickets/mean-girls/,https://san-francisco.events/tickets/mean-girls/](https://san-francisco.events/tickets/mean-girls/,exa_fast
exa_https://san-francisco.events/tickets/fat-ham/,Fat Ham Tickets | SF Events 2025/2026,theatre,2025-04-30T07:00:00.000Z,2025-04-30T07:00:00.000Z,Toni Rembe Theater,,https://san-francisco.events/tickets/fat-ham/,https://san-francisco.events/tickets/two-trains-running/,exa_fast
