id,title,category,startDate,endDate,venue,address,eventUrl,ticketUrl,source
serper_www.berkeleyrep.org/shows,Shows | Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/shows,https://www.berkeleyrep.org/shows,serper
serper_www.berkeleyrep.org,Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/,https://www.berkeleyrep.org/,serper
serper_www.berkeleyrep.org/subscription-and-ticket-packages-m1xn,Subscription and ticket packages - Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/subscription-and-ticket-packages-m1xn,https://www.berkeleyrep.org/subscription-and-ticket-packages-m1xn,serper
serper_www.berkeleyrep.org/shows/the-hills-of-california-x26q,The Hills of California - Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/shows/the-hills-of-california-x26q,https://www.berkeleyrep.org/shows/the-hills-of-california-x26q,serper
serper_www.berkeleyrep.org/past-productions-1mrc,Past productions | Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/past-productions-1mrc,https://www.berkeleyrep.org/past-productions-1mrc,serper
serper_www.berkeleyrep.org/ovation-gala-qft1,Ovation Gala - Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/ovation-gala-qft1,https://www.berkeleyrep.org/ovation-gala-qft1,serper
serper_www.berkeleyrep.org/artists-b51d,Artists | Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/artists-b51d,https://www.berkeleyrep.org/artists-b51d,serper
serper_www.berkeleyrep.org/about-the-ground-floor-fc1q,About The Ground Floor - Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/about-the-ground-floor-fc1q,https://www.berkeleyrep.org/about-the-ground-floor-fc1q,serper
serper_www.berkeleyrep.org/antiracism-commitment-fmq7,Antiracism commitment - Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/antiracism-commitment-fmq7,https://www.berkeleyrep.org/antiracism-commitment-fmq7,serper
serper_www.berkeleyrep.org/teen-council-18cr,Teen Council | Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/teen-council-18cr,https://www.berkeleyrep.org/teen-council-18cr,serper
serper_www.berkeleyrep.org/school-of-theatre-t7gc,Berkeley Rep School of Theatre,theatre,,,,,https://www.berkeleyrep.org/school-of-theatre-t7gc,https://www.berkeleyrep.org/school-of-theatre-t7gc,serper
serper_www.berkeleyrep.org/classes-df19,Classes | Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/classes-df19,https://www.berkeleyrep.org/classes-df19,serper
serper_www.berkeleyrep.org/shows/sanctuary-city/program,Sanctuary City digital program - Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/shows/sanctuary-city/program/,https://www.berkeleyrep.org/shows/sanctuary-city/program/,serper
serper_www.berkeleyrep.org/shows/the-ripple-the-wave-that-carried-me-home/program,"the ripple, the wave that carried me home digital program | Berkeley ...",theatre,,,,,https://www.berkeleyrep.org/shows/the-ripple-the-wave-that-carried-me-home/program/,https://www.berkeleyrep.org/shows/the-ripple-the-wave-that-carried-me-home/program/,serper
serper_www.berkeleyrep.org/alumni-artists-8jzs,Alumni artists | Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/alumni-artists-8jzs,https://www.berkeleyrep.org/alumni-artists-8jzs,serper
serper_www.berkeleyrep.org/people/sara-danielsen-yblx,Sara Danielsen | Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/people/sara-danielsen-yblx,https://www.berkeleyrep.org/people/sara-danielsen-yblx,serper
serper_www.berkeleyrep.org/health-and-safety-npft,Health and safety | Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/health-and-safety-npft,https://www.berkeleyrep.org/health-and-safety-npft,serper
serper_www.berkeleyrep.org/cms_files/file/berkeley-rep-2025-05-whos-with-me-benefit.pdf,[PDF] emmy and peabody award-winning tv host & comedian,theatre,,,,,https://www.berkeleyrep.org/cms_files/File/berkeley-rep-2025-05-whos-with-me-benefit.pdf,https://www.berkeleyrep.org/cms_files/File/berkeley-rep-2025-05-whos-with-me-benefit.pdf,serper
serper_www.berkeleyrep.org/in-your-classroom-jg6y,In your classroom | Berkeley Repertory Theatre,theatre,,,,,https://www.berkeleyrep.org/in-your-classroom-jg6y,https://www.berkeleyrep.org/in-your-classroom-jg6y,serper
