id,title,category,startDate,endDate,venue_name,venue_address,city,price_minmax,eventUrl,ticketUrl,source
exa_https://www.purplepass.com/events/312756-bay-area-playback-theater%3A-deep-improv%3A-%E2%80%98stories-o-may-4th-2025,"Bay Area Playback Theater: Deep Improv - ""Stories of Kindness""",theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,details,,,,https://www.purplepass.com/events/312756-bay-area-playback-theater%3A-deep-improv%3A-%E2%80%98stories-o-may-4th-2025,https://www.purplepass.com/events/312756-bay-area-playback-theater%3A-deep-improv%3A-%E2%80%98stories-o-may-4th-2025,exa_fast
exa_https://san-francisco.events/tickets/wicked/,Wicked Tickets | SF Events 2025/2026,theatre,2025-04-27T07:00:00.000Z,2025-04-27T07:00:00.000Z,See Event Page,,,,https://san-francisco.events/tickets/wicked/,https://san-francisco.events/tickets/zorro-opera/](https://san-francisco.events/tickets/zorro-opera/),exa_fast
exa_https://www.eventbrite.com/e/funding-the-commons-san-francisco-2025-tickets-1279440162969,Funding the Commons: San Francisco 2025,theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,details not provided),,,,https://www.eventbrite.com/e/funding-the-commons-san-francisco-2025-tickets-1279440162969,https://www.eventbrite.com/e/funding-the-commons-s](https://www.eventbrite.com/e/funding-the-commons-s,exa_fast
exa_https://allevents.in/san%20francisco/emperor-and-wayfarer/2300027871730142,Emperor & Wayfarer,theatre,2025-05-16T07:00:00.000Z,2025-05-16T07:00:00.000Z,** Warfield,,,,https://allevents.in/san%20francisco/emperor-and-wayfarer/2300027871730142,https://allevents.in/san%20francisco/emperor-and-wayfarer/2300027871730142,exa_fast
exa_https://convergence-continuum.thundertix.com/,Upcoming events at convergence-continuum,theatre,2025-06-06T07:00:00.000Z,2025-06-06T07:00:00.000Z,See Event Page,,,,https://convergence-continuum.thundertix.com/,https://convergence-continuum.thundertix.com/,exa_fast
exa_https://www.eventbrite.com/e/business-of-broadway-mamma-mia-tickets-1238457342249,Business of Broadway: Mamma Mia!,theatre,2025-05-01T07:00:00.000Z,2025-05-01T07:00:00.000Z,Orpheum Theatre,,,,https://www.eventbrite.com/e/business-of-broadway-mamma-mia-tickets-1238457342249,https://www.eventbrite.com/e/business-of-broadway-,exa_fast
exa_https://www.eventbrite.com/e/an-evening-in-september-2025-where-courage-and-hope-take-flight-tickets-1415905735169,An Evening in September 2025: Where Courage and Hope Take Flight,theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,See Event Page,,,,https://www.eventbrite.com/e/an-evening-in-september-2025-where-courage-and-hope-take-flight-tickets-1415905735169,https://www.eventbrite.com/e/an-evening-in-september-2025-where-courage-and-hope-take-flight-tickets-1415905735169,exa_fast
exa_https://www.eventbrite.com/d/ca--walnut-creek/theater-plays/,"Discover Theater Plays Events & Activities in Walnut Creek, CA | Eventbrite",theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,Young Performers Theatre,,,,https://www.eventbrite.com/d/ca--walnut-creek/theater-plays/,https://www.eventbrite.com/e/performance-theatre-workshop-session-1-tickets-1146500577089](https://www.eventbrite.com/e/performance-theatre-workshop-session-1-tickets-1146500577089,exa_fast
exa_https://dothebay.com/events/2025/5/2/alive-well-productions-the-four-seasons-of-hamadan-2025-san-francisco-premiere-with-helen-wicks-works-tickets,"Alive & Well Productions - The Four Seasons of Hamadan (2025, San Fra (...) at Theater of Yugen @NOHSpace",theatre,2025-05-02T07:00:00.000Z,2025-05-02T07:00:00.000Z,Theater of Yugen @ NOHSpace,,,,https://dothebay.com/events/2025/5/2/alive-well-productions-the-four-seasons-of-hamadan-2025-san-francisco-premiere-with-helen-wicks-works-tickets,https://dothebay.com/events/2025/5/2/alive-well-productions-the-four-seasons-of-hamadan-2025-san-francisco-premiere-with-helen-wicks-works-tickets,exa_fast
exa_https://dothebay.com/venues/san-francisco-playhouse,"San Francisco Playhouse, Upcoming Events on DoTheBay",theatre,2025-05-01T07:00:00.000Z,2025-05-01T07:00:00.000Z,San Francisco Playhouse,,,,https://dothebay.com/venues/san-francisco-playhouse,https://dothebay.com/events/weekly/thu/the-curious-incident-of-the-dog-in-the-night-time-tickets),exa_fast
exa_https://www.eventbrite.com/e/the-camp-sutro-variety-show-tickets-1234264150299,The Camp Sutro Variety Show,theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,details available),,,,https://www.eventbrite.com/e/the-camp-sutro-variety-show-tickets-1234264150299,https://www.eventbrite.com/e/the-camp-sutro-variety-show](https://www.eventbrite.com/e/the-camp-sutro-variety-show,exa_fast
exa_https://www.eventbrite.co.uk/d/ca--san-francisco--western-addition/arts--attractions/,"Best Arts Attraction in Western Addition, San Francisco - Events & Activities | Eventbrite",theatre,2024-05-25T07:00:00.000Z,2024-05-25T07:00:00.000Z,** Montclair Presbyterian,,,,https://www.eventbrite.co.uk/d/ca--san-francisco--western-addition/arts--attractions/,https://www.eventbrite.com/e/improv-jam-in-person-registration-1080971688419?aff=ebdssbdestsearch,exa_fast
exa_https://www.boxofficeticketsales.com/6683706/kims-convenience-tickets-wed-10-15-2025-toni-rembe-theater,"Kim's Convenience Tickets San Francisco, CA 10/15/2025 2:00PM | Toni Rembe Theater",theatre,2025-10-15T07:00:00.000Z,2025-10-15T07:00:00.000Z,Toni Rembe Theater,,,,https://www.boxofficeticketsales.com/6683706/kims-convenience-tickets-wed-10-15-2025-toni-rembe-theater,https://www.boxofficeticketsales.com/6683706/kims-](https://www.boxofficeticketsales.com/6683706/kims-,exa_fast
exa_https://events.sulekha.com/navratri-dandiya-events-tickets-san-francisco-ca,"Navratri Dandiya 2025 Event Tickets in San Francisco, CA | Navratri Garba & Dandiya Raas Events",theatre,2025-10-03T07:00:00.000Z,2025-10-03T07:00:00.000Z,** San Francisco City Hall,,,,https://events.sulekha.com/navratri-dandiya-events-tickets-san-francisco-ca,https://events.sulekha.com/navratri-dandiya-events-tickets-san-francisco-ca,exa_fast
exa_https://www.eventbrite.com/e/ai-user-conference-2025-1-day-to-master-the-latest-ai-tools-tickets-1088288312639,AI User Conference 2025 - 1 Day to Master the Latest AI Tools,theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,"Not specified (Webpage indicates ""View event"" and ""View details"")",,,,https://www.eventbrite.com/e/ai-user-conference-2025-1-day-to-master-the-latest-ai-tools-tickets-1088288312639,https://www.eventbrite.com/e/ai-user-conference-20,exa_fast
exa_https://www.eventbrite.com/d/ca--san-francisco/entertainment/,"Discover Entertainment Events & Activities in San Francisco, CA | Eventbrite",theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,SVN WEST,,,,https://www.eventbrite.com/d/ca--san-francisco/entertainment/,https://www.eventbrite.com/e/rb-and-ribs-memorial-day-sunday-tickets-1324602926009?aff=ebdssbdestsearch,exa_fast
exa_https://allevents.in/san%20francisco/max-amini-at-herbst-theatre/2400027961456034,Max Amini at Herbst Theatre,theatre,2025-05-02T07:00:00.000Z,2025-05-02T07:00:00.000Z,Herbst Theatre,,,,https://allevents.in/san%20francisco/max-amini-at-herbst-theatre/2400027961456034,https://allevents.in/san%20francisco/max-amini-at-herbst-theatre/2400027961456034,exa_fast
exa_https://dothebay.com/venues/a-c-t,"A.C.T.'s Geary Theater, Upcoming Events on DoTheBay",theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,See Event Page,,,,https://dothebay.com/venues/a-c-t,https://dothebay.com/venues/a-c-t,exa_fast
exa_https://www.eventbrite.com/e/silicon-valley-techrecruit-conference-2024-tickets-871140864777,Silicon Valley TechRecruit Conference 2024,theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,"details not provided; event is marked as ""Sales Ended"")",,,,https://www.eventbrite.com/e/silicon-valley-techrecruit-conference-2024-tickets-871140864777,https://www.eventbrite.com/e/silicon-valley-techre,exa_fast
exa_https://www.eventbrite.com/d/ca--san-francisco/september/,"Discover September Events & Activities in San Francisco, CA | Eventbrite",theatre,2024-09-04T07:00:00.000Z,2024-09-04T07:00:00.000Z,ZOE Cocktail Bar,,,,https://www.eventbrite.com/d/ca--san-francisco/september/,https://www.eventbrite.com/e/karaoke-zoe-w-buy-1-get-1-drink-specials-tickets-1527930373879?aff=ebdssbdestsearch,exa_fast
exa_https://www.eventbrite.com/e/bash-bay-area-sacramento-short-film-festival-2025-part-1-plus-tickets-1078718348619,BASH- Bay Area & Sacramento Short Film Festival 2025- Part 1- PLUS,theatre,2025-06-21T07:00:00.000Z,2025-06-21T07:00:00.000Z,Fort Mason Center for Arts & Culture,,,,https://www.eventbrite.com/e/bash-bay-area-sacramento-short-film-festival-2025-part-1-plus-tickets-1078718348619,https://www.eventbrite.com/e/bash-bay-area-sacrame](https://www.eventbrite.com/e/bash-bay-area-sacrame,exa_fast
exa_https://www.eventbrite.com/e/art-battle-san-francisco-june-25-2025-tickets-1271247929779,"Art Battle San Francisco - June 25, 2025",theatre,2025-06-25T07:00:00.000Z,2025-06-25T07:00:00.000Z,The Great Northern,,,,https://www.eventbrite.com/e/art-battle-san-francisco-june-25-2025-tickets-1271247929779,https://www.eventbrite.com/e/art-battle-san-franci](https://www.eventbrite.com/e/art-battle-san-franci,exa_fast
exa_https://allevents.in/san%20francisco/real-estate-networking-with-j-martin~-san-francisco/100001126365041159,Real Estate Networking with J Martin~ San Francisco,theatre,2025-05-05T07:00:00.000Z,2025-05-05T07:00:00.000Z,Royal Exchange Restaurant,,,,https://allevents.in/san%20francisco/real-estate-networking-with-j-martin~-san-francisco/100001126365041159,https://allevents.in/san%20francisco/real-estate-networking-with-j-martin~-san-francisco/100001126365041159,exa_fast
exa_https://allevents.in/san-francisco/san-francisco-ballet-frankenstein-at-war-memorial-opera-house/2400027758264441?slot=2025-05-01,San Francisco Ballet - Frankenstein at War Memorial Opera House,theatre,2025-04-26T07:00:00.000Z,2025-04-26T07:00:00.000Z,War Memorial Opera House,,,,https://allevents.in/san-francisco/san-francisco-ballet-frankenstein-at-war-memorial-opera-house/2400027758264441?slot=2025-05-01,https://allevents.in/san-francisco/san-francisco-ballet-frankenstein-at-war-memorial-opera-house/2400027758264441?slot=2025-05-01,exa_fast
exa_https://www.san-francisco-theater.com/shows/play,"Plays in San Francisco CA 2025/26: Tickets, Info, Reviews, Videos and more",theatre,2024-11-23T08:00:00.000Z,2024-11-23T08:00:00.000Z,Curran Theatre,,,,https://www.san-francisco-theater.com/shows/play,https://www.san-francisco-theater.com/shows/curran-theater/stereophonic/tickets/calendar,exa_fast
exa_https://www.eventbrite.com/e/san-francisco-crystal-fair-tickets-1126338220939,San Francisco Crystal Fair,theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,(Not specified in the provided text; the event page indicates it has ended),,,,https://www.eventbrite.com/e/san-francisco-crystal-fair-tickets-1126338220939,https://www.eventbrite.com/e/san-francisco-crystal](https://www.eventbrite.com/e/san-francisco-crystal,exa_fast
exa_https://www.eventbrite.com/e/the-box-sf-monthly-artists-and-makers-fair-may-3-4-tickets-1146497106709,The Box SF Monthly Artists and Makers Fair (May 3-4),theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,the historic building,,,,https://www.eventbrite.com/e/the-box-sf-monthly-artists-and-makers-fair-may-3-4-tickets-1146497106709,https://www.eventbrite.com/e/the-box-sf-monthly-artists-and-makers-fair-may-3-4-tickets-1146497106709,exa_fast
exa_https://allevents.in/mobile/amp-event.php?event_id=3200027477507448&slot=2025-03-07,Chicago - The Musical - San Francisco,theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,Golden Gate Theatre,,,,https://allevents.in/mobile/amp-event.php?event_id=3200027477507448&slot=2025-03-07,https://allevents.in/mobile/amp-event.php?event_id=3200027477507448&slot=2025-03-07,exa_fast
exa_https://www.cityboxoffice.com/eventperformances.asp?evt=3166,Tickets | San Francisco High School of the Arts | City Box Office,theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,** Herbst Theatre,,,,https://www.cityboxoffice.com/eventperformances.asp?evt=3166,https://www.cityboxoffice.com/eventperformances.asp?evt=3166,exa_fast
exa_https://us.trip.com/events/6766334-2025-05-san-francisco-fashion-design-collection/,San Francisco Fashion Design Events in May: Latest Calendar & Tickets(May Updated) | Trip.com,theatre,2025-05-30T07:00:00.000Z,2025-05-30T07:00:00.000Z,African American Art & Culture Complex,,,,https://us.trip.com/events/6766334-2025-05-san-francisco-fashion-design-collection/,https://StogiesandStilettos6.Eventbrite.com,exa_fast
exa_https://www.eventbrite.co.uk/poi/ca--san-francisco/immigrant-point-overlook--GHBAt/,"Immigrant Point Overlook: Best Nearby Events, Tours & Activities | Eventbrite",theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,See Event Page,,,,https://www.eventbrite.co.uk/poi/ca--san-francisco/immigrant-point-overlook--GHBAt/,https://www.eventbrite.com/e/ocean-vuong-the-emperor-of-gladness-at-calvary-presbyterian-church-tickets-1280324658519?aff=ebdssbpointsofinterest,exa_fast
exa_https://concerts50.com/show/candlelight-the-best-of-joe-hisaishi-in-san-francisco-tickets-sep-06-2025,"Candlelight: The Best of Joe Hisaishi in San Francisco, The Chan National Queer Arts Center",theatre,2025-09-06T07:00:00.000Z,2025-09-06T07:00:00.000Z,The Chan National Queer Arts Center,,,,https://concerts50.com/show/candlelight-the-best-of-joe-hisaishi-in-san-francisco-tickets-sep-06-2025,https://concerts50.com/show/candlelight-the-best-of-joe-hisaishi-in-san-francisco-tickets-sep-06-2025,exa_fast
exa_https://www.eventbrite.com/e/california-long-form-improv-festival-registration-1020916618087,California Long-form Improv Festival,theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,Michelle Danner Acting Studio,,,,https://www.eventbrite.com/e/california-long-form-improv-festival-registration-1020916618087,https://www.eventbrite.com/e/california-long-form-,exa_fast
exa_https://www.eventbrite.com/d/ca--san-francisco/fashion-show/,"Discover Fashion Show Events & Activities in San Francisco, CA | Eventbrite",theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,Downtown,,,,https://www.eventbrite.com/d/ca--san-francisco/fashion-show/,https://www.eventbrite.com/e/one-of-a-kind-fashion-show-tickets-1631379623369?aff=ebdssbdestsearch,exa_fast
exa_https://allevents.in/san-francisco/garbage-at-warfield/2400028009602405,Garbage at Warfield,theatre,2025-10-24T07:00:00.000Z,2025-10-24T07:00:00.000Z,Warfield,,,,https://allevents.in/san-francisco/garbage-at-warfield/2400028009602405,https://allevents.in/san-francisco/garbage-at-warfield/2400028009602405,exa_fast
exa_https://maxsf.org/event-6053092,"SF Playhouse Presents ""Fat Ham""",theatre,2025-09-07T07:54:23.309Z,2025-09-07T07:54:23.309Z,address not provided on the page),,,,https://maxsf.org/event-6053092,https://maxsf.org/event-6053092,exa_fast
